GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_VC03,Estimate; SEX AND AGE - Total population
HC02_VC03,Margin of Error; SEX AND AGE - Total population
HC03_VC03,Percent; SEX AND AGE - Total population
HC04_VC03,Percent Margin of Error; SEX AND AGE - Total population
HC01_VC32,Estimate; SEX AND AGE - 18 years and over
HC02_VC32,Margin of Error; SEX AND AGE - 18 years and over
HC03_VC32,Percent; SEX AND AGE - 18 years and over
HC04_VC32,Percent Margin of Error; SEX AND AGE - 18 years and over
HC01_VC34,Estimate; SEX AND AGE - 18 years and over - Female
HC02_VC34,Margin of Error; SEX AND AGE - 18 years and over - Female
HC03_VC34,Percent; SEX AND AGE - 18 years and over - Female
HC04_VC34,Percent Margin of Error; SEX AND AGE - 18 years and over - Female
HC01_VC37,Estimate; SEX AND AGE - 65 years and over
HC02_VC37,Margin of Error; SEX AND AGE - 65 years and over
HC03_VC37,Percent; SEX AND AGE - 65 years and over
HC04_VC37,Percent Margin of Error; SEX AND AGE - 65 years and over
HC01_VC39,Estimate; SEX AND AGE - 65 years and over - Female
HC02_VC39,Margin of Error; SEX AND AGE - 65 years and over - Female
HC03_VC39,Percent; SEX AND AGE - 65 years and over - Female
HC04_VC39,Percent Margin of Error; SEX AND AGE - 65 years and over - Female
HC01_VC43,Estimate; RACE - Total population
HC02_VC43,Margin of Error; RACE - Total population
HC03_VC43,Percent; RACE - Total population
HC04_VC43,Percent Margin of Error; RACE - Total population
HC01_VC44,Estimate; RACE - Total population - One race
HC02_VC44,Margin of Error; RACE - Total population - One race
HC03_VC44,Percent; RACE - Total population - One race
HC04_VC44,Percent Margin of Error; RACE - Total population - One race
HC01_VC45,Estimate; RACE - Total population - Two or more races
HC02_VC45,Margin of Error; RACE - Total population - Two or more races
HC03_VC45,Percent; RACE - Total population - Two or more races
HC04_VC45,Percent Margin of Error; RACE - Total population - Two or more races
HC01_VC48,Estimate; RACE - One race
HC02_VC48,Margin of Error; RACE - One race
HC03_VC48,Percent; RACE - One race
HC04_VC48,Percent Margin of Error; RACE - One race
HC01_VC49,Estimate; RACE - One race - White
HC02_VC49,Margin of Error; RACE - One race - White
HC03_VC49,Percent; RACE - One race - White
HC04_VC49,Percent Margin of Error; RACE - One race - White
HC01_VC50,Estimate; RACE - One race - Black or African American
HC02_VC50,Margin of Error; RACE - One race - Black or African American
HC03_VC50,Percent; RACE - One race - Black or African American
HC04_VC50,Percent Margin of Error; RACE - One race - Black or African American
HC01_VC51,Estimate; RACE - One race - American Indian and Alaska Native
HC02_VC51,Margin of Error; RACE - One race - American Indian and Alaska Native
HC03_VC51,Percent; RACE - One race - American Indian and Alaska Native
HC04_VC51,Percent Margin of Error; RACE - One race - American Indian and Alaska Native
HC01_VC55,Estimate; RACE - One race - American Indian and Alaska Native - Sioux tribal grouping
HC02_VC55,Margin of Error; RACE - One race - American Indian and Alaska Native - Sioux tribal grouping
HC03_VC55,Percent; RACE - One race - American Indian and Alaska Native - Sioux tribal grouping
HC04_VC55,Percent Margin of Error; RACE - One race - American Indian and Alaska Native - Sioux tribal grouping
HC01_VC56,Estimate; RACE - One race - Asian
HC02_VC56,Margin of Error; RACE - One race - Asian
HC03_VC56,Percent; RACE - One race - Asian
HC04_VC56,Percent Margin of Error; RACE - One race - Asian
HC01_VC63,Estimate; RACE - One race - Asian - Other Asian
HC02_VC63,Margin of Error; RACE - One race - Asian - Other Asian
HC03_VC63,Percent; RACE - One race - Asian - Other Asian
HC04_VC63,Percent Margin of Error; RACE - One race - Asian - Other Asian
HC01_VC64,Estimate; RACE - One race - Native Hawaiian and Other Pacific Islander
HC02_VC64,Margin of Error; RACE - One race - Native Hawaiian and Other Pacific Islander
HC03_VC64,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander
HC04_VC64,Percent Margin of Error; RACE - One race - Native Hawaiian and Other Pacific Islander
HC01_VC68,Estimate; RACE - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander
HC02_VC68,Margin of Error; RACE - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander
HC03_VC68,Percent; RACE - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander
HC04_VC68,Percent Margin of Error; RACE - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander
HC01_VC70,Estimate; RACE - Two or more races
HC02_VC70,Margin of Error; RACE - Two or more races
HC03_VC70,Percent; RACE - Two or more races
HC04_VC70,Percent Margin of Error; RACE - Two or more races
HC01_VC74,Estimate; RACE - Two or more races - Black or African American and American Indian and Alaska Native
HC02_VC74,Margin of Error; RACE - Two or more races - Black or African American and American Indian and Alaska Native
HC03_VC74,Percent; RACE - Two or more races - Black or African American and American Indian and Alaska Native
HC04_VC74,Percent Margin of Error; RACE - Two or more races - Black or African American and American Indian and Alaska Native
HC01_VC77,Estimate; RACE - Race alone or in combination with one or more other races - Total population
HC02_VC77,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population
HC03_VC77,Percent; RACE - Race alone or in combination with one or more other races - Total population
HC04_VC77,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population
HC01_VC78,Estimate; RACE - Race alone or in combination with one or more other races - Total population - White
HC02_VC78,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - White
HC03_VC78,Percent; RACE - Race alone or in combination with one or more other races - Total population - White
HC04_VC78,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - White
HC01_VC79,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Black or African American
HC02_VC79,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Black or African American
HC03_VC79,Percent; RACE - Race alone or in combination with one or more other races - Total population - Black or African American
HC04_VC79,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Black or African American
HC01_VC87,Estimate; HISPANIC OR LATINO AND RACE - Total population
HC02_VC87,Margin of Error; HISPANIC OR LATINO AND RACE - Total population
HC03_VC87,Percent; HISPANIC OR LATINO AND RACE - Total population
HC04_VC87,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population
HC01_VC88,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race)
HC02_VC88,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race)
HC03_VC88,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race)
HC04_VC88,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race)
HC01_VC89,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican
HC02_VC89,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican
HC03_VC89,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican
HC04_VC89,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican
HC01_VC93,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino
HC02_VC93,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino
HC03_VC93,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino
HC04_VC93,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino
HC01_VC94,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone
HC02_VC94,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone
HC03_VC94,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone
HC04_VC94,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - White alone
HC01_VC95,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone
HC02_VC95,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone
HC03_VC95,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone
HC04_VC95,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Black or African American alone
HC01_VC100,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races
HC02_VC100,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races
HC03_VC100,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races
HC04_VC100,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races
HC01_VC102,"Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races - Two races excluding Some other race, and Three or more races"
HC02_VC102,"Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races - Two races excluding Some other race, and Three or more races"
HC03_VC102,"Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races - Two races excluding Some other race, and Three or more races"
HC04_VC102,"Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino - Two or more races - Two races excluding Some other race, and Three or more races"
HC01_VC104,Estimate; HISPANIC OR LATINO AND RACE - Total housing units
HC02_VC104,Margin of Error; HISPANIC OR LATINO AND RACE - Total housing units
HC03_VC104,Percent; HISPANIC OR LATINO AND RACE - Total housing units
HC04_VC104,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total housing units
